藏品ID,名称,轮廓,价值,品质,品类,描述,图标资源ID
901601,青铜大立人像,3×3（9格）,637300,红品,古董,三星堆青铜大立人像，商代晚期祭祀重器，通高两米六，全世界同期最高的青铜人像,icon_cp_gd_06_001
901602,传国玉玺,2×2（4格）,1883000,红品,古董,和氏璧所刻受命于天，历代帝王正统之凭，真品下落千年未解,icon_cp_gd_06_002
901603,越王勾践剑,4×2（8格）,1280000,红品,古董,越王勾践青铜剑，菱形暗纹防锈未解，出土利可断纸传了两千年,icon_cp_gd_06_003
901604,南越王铁剑,4×2（8格）,333400,红品,古董,西汉南越铁剑，岭南冶铁技术与中原同步，铁器比青铜更难留存,icon_cp_gd_06_004
901605,南宋官窑瓶,2×2（4格）,520900,红品,古董,南宋杭州官窑，粉青釉开片如冰裂，次品当场打碎深埋不出宫,icon_cp_gd_06_005
901606,民国粉彩大瓶,4×4（16格）,475600,红品,古董,民国粉彩大瓶绘人物故事，瓷画分离分工细致，乱世未乱瓷艺,icon_cp_gd_06_006
901607,翡翠观音,1×3（3格）,157500,红品,古董,冰种飘花翡翠观音，海外回流品，每次归来身价翻倍,icon_cp_gd_06_007
901608,九龙玉杯,2×2（4格）,213900,红品,古董,康熙御用白玉九龙杯，随葬景陵后被盗，香港传闻中的传奇玉杯,icon_cp_gd_06_008
901609,金缕玉衣,2×2（4格）,173600,红品,古董,汉代金缕玉衣，数百片玉石以金丝缀连成人形，王侯最高级别葬服,icon_cp_gd_06_009
901610,金佛塔,2×2（4格）,157200,红品,古董,鎏金铜佛塔，塔身分层开龛供佛，佛教七宝之一,icon_cp_gd_06_010
901611,曜变天目盏,1×1（1格）,129000,红品,古董,宋建窑曜变天目，釉面流转星云般的蓝紫光，全球不足十件日本三件为国宝,icon_cp_gd_06_011
901612,舞马衔杯壶,3×2（6格）,251900,红品,古董,唐代鎏金银壶，舞马衔杯浮雕，何家村窖藏金银器巅峰,icon_cp_gd_06_012
901613,战国水晶杯,1×2（2格）,124700,红品,古董,战国整雕水晶杯，简约如现代设计，防弹玻璃罩下的千年真品,icon_cp_gd_06_013
901614,三星堆纵目面具,2×2（4格）,427700,红品,古董,三星堆青铜纵目面具，双目柱突16厘米，古蜀文明未解之谜,icon_cp_gd_06_014
901615,文帝行玺金印,1×1（1格）,57120,红品,古董,广州南越王墓金印，纯金龟纽刻文帝行玺，岭南王权仿中原建制——羊城拾光专属,icon_cp_gd_06_015
901616,良渚玉琮王,2×2（4格）,208400,红品,古董,杭州良渚玉琮王，外方内圆神人兽面纹，五千年前解玉砂磨出的礼器巅峰——钱塘雅集专属,icon_cp_gd_06_016
901617,大克鼎,2×3（6格）,225000,红品,古董,西周大克鼎重201公斤，腹铭290字，上海博物馆镇馆之宝金石三宝之一——沪上风云专属,icon_cp_gd_06_017
901618,万历金丝冠,2×2（4格）,186400,红品,古董,北京定陵万历金丝冠，纯金细丝编结无针线，龙冕编在金丝上的帝王身份——燕京御藏专属,icon_cp_gd_06_018
901619,萧何月下瓶,1×2（2格）,99990,红品,古董,元青花人物故事梅瓶，苏麻离青绘萧何追韩信，全球仅十几件香江拍场标杆——香江竞逐专属,icon_cp_gd_06_019
901620,死海古卷,4×4（16格）,416700,红品,古董,死海古卷，公元前手抄圣经文献，两千年后重见天日，摆进霓城之巅也自带压轴感——霓城之巅专属,icon_cp_gd_06_020
901621,十二生肖兽首·鼠,2×2（4格）,800000,红品,古董,圆明园十二兽首·鼠首，海晏堂水力钟构件。2013年由法国皮诺家族与兔首一同捐赠归国,icon_cp_gd_06_021
901622,十二生肖兽首·牛,2×2（4格）,800000,红品,古董,圆明园十二兽首·牛首，海晏堂水力钟构件。2000年香港拍卖后捐赠归国,icon_cp_gd_06_022
901623,十二生肖兽首·虎,2×2（4格）,800000,红品,古董,圆明园十二兽首·虎首，海晏堂水力钟构件。2000年与牛首猴首一同回归,icon_cp_gd_06_023
901624,十二生肖兽首·兔,2×2（4格）,800000,红品,古董,圆明园十二兽首·兔首，海晏堂水力钟构件。2013年由法国藏家捐赠归国,icon_cp_gd_06_024
901625,十二生肖兽首·龙,2×2（4格）,800000,红品,古董,圆明园十二兽首·龙首，海晏堂水力钟构件。至今下落不明,icon_cp_gd_06_025
901626,十二生肖兽首·蛇,2×2（4格）,800000,红品,古董,圆明园十二兽首·蛇首，海晏堂水力钟构件。至今下落不明,icon_cp_gd_06_026
901627,十二生肖兽首·马,2×2（4格）,800000,红品,古董,圆明园十二兽首·马首，海晏堂水力钟构件。2007年澳门拍卖后捐赠归国,icon_cp_gd_06_027
901628,十二生肖兽首·羊,2×2（4格）,800000,红品,古董,圆明园十二兽首·羊首，海晏堂水力钟构件。至今下落不明,icon_cp_gd_06_028
901629,十二生肖兽首·猴,2×2（4格）,800000,红品,古董,圆明园十二兽首·猴首，海晏堂水力钟构件。2000年与牛首虎首一同回归,icon_cp_gd_06_029
901630,十二生肖兽首·鸡,2×2（4格）,800000,红品,古董,圆明园十二兽首·鸡首，海晏堂水力钟构件。至今下落不明,icon_cp_gd_06_030
901631,十二生肖兽首·狗,2×2（4格）,800000,红品,古董,圆明园十二兽首·狗首，海晏堂水力钟构件。至今下落不明,icon_cp_gd_06_031
901632,十二生肖兽首·猪,2×2（4格）,800000,红品,古董,圆明园十二兽首·猪首，海晏堂水力钟构件。2003年由澳门藏家捐赠归国,icon_cp_gd_06_032
901633,后母戊鼎,3×3（9格）,880000,红品,古董,商代青铜鼎王，832公斤世界之最，三千年前协同铸造奇迹,icon_cp_gd_06_033
901634,四羊方尊,3×2（6格）,880000,红品,古董,商代青铜酒器，一器四羊造型无双，历史课本C位,icon_cp_gd_06_034
901635,毛公鼎,2×2（4格）,880000,红品,古董,西周毛公鼎，内壁铭文497字，迄今铭文最长的青铜器，兼具礼器与文献双重价值——一部铸在铜上的西周文献,icon_cp_gd_06_035
901636,大盂鼎,2×2（4格）,880000,红品,古董,西周大盂鼎，内壁铭文291字，周初分封与禁酒制度的关键实物证据——一段铭文直接对照一本《尚书》,icon_cp_gd_06_036
901637,十三幺-一万,1×1（1格）,700000,红品,古董,万字牌首牌，象征财富之源,icon_cp_gd_06_037
901638,十三幺-九万,1×1（1格）,700000,红品,古董,万字牌末牌，寓意至尊至贵,icon_cp_gd_06_038
901639,十三幺-一筒,1×1（1格）,700000,红品,古董,筒字牌首牌，古钱币造型,icon_cp_gd_06_039
901640,十三幺-九筒,1×1（1格）,700000,红品,古董,筒字牌末牌，九宫圆满之意,icon_cp_gd_06_040
901641,十三幺-一索,1×1（1格）,700000,红品,古董,索字牌首牌，竹节穿钱之意,icon_cp_gd_06_041
901642,十三幺-九索,1×1（1格）,700000,红品,古董,索字牌末牌，长久绵延之兆,icon_cp_gd_06_042
901643,十三幺-东风,1×1（1格）,700000,红品,古董,风牌之首，紫气东来,icon_cp_gd_06_043
901644,十三幺-南风,1×1（1格）,700000,红品,古董,风牌次位，南天一柱,icon_cp_gd_06_044
901645,十三幺-西风,1×1（1格）,700000,红品,古董,风牌三位，西山落日,icon_cp_gd_06_045
901646,十三幺-北风,1×1（1格）,700000,红品,古董,风牌末位，北辰之星,icon_cp_gd_06_046
901647,十三幺-红中,1×1（1格）,700000,红品,古董,三元牌之首，中正通达,icon_cp_gd_06_047
901648,十三幺-发财,1×1（1格）,700000,红品,古董,三元牌次位，财运亨通,icon_cp_gd_06_048
901649,十三幺-白板,1×1（1格）,700000,红品,古董,三元牌末位，清白传家,icon_cp_gd_06_049
902101,镀金铁链,3×3（9格）,657,白品,珠宝,铁皮镀金链饰，镀层脱落露底铁，廉价饰品级,icon_cp_zb_01_001
902102,玻璃仿珠,2×2（4格）,362,白品,珠宝,玻璃制仿珍珠，表面漆层，放大镜下见气泡,icon_cp_zb_01_002
902103,碎银粒,2×2（4格）,396,白品,珠宝,碎银料氧化发黑，形态不规则，含银量低,icon_cp_zb_01_003
902104,铜镀银扣,2×2（4格）,731,白品,珠宝,铜底镀银纽扣，镀层薄花纹模糊,icon_cp_zb_01_004
902105,普通玉碎料,1×2（2格）,258,白品,珠宝,杂玉碎料质地粗糙，颜色混杂无雕琢价值,icon_cp_zb_01_005
902106,贝壳饰片,1×1（1格）,136,白品,珠宝,天然贝壳打磨成片，纹理平淡有细微裂纹,icon_cp_zb_01_006
902107,仿玉,1×1（1格）,291,白品,珠宝,塑料仿玉石偏轻，无天然玉冰凉触感,icon_cp_zb_01_007
902108,仿玻璃,1×1（1格）,146,白品,珠宝,玻璃冒充钻石，折射率低火彩不明显,icon_cp_zb_01_008
902109,合金珍珠,1×1（1格）,120,白品,珠宝,合金底座镶塑料珠，珠光层易脱落,icon_cp_zb_01_009
902110,树脂仿翡翠,1×1（1格）,283,白品,珠宝,树脂注色仿翡翠，紫外灯下荧光反应明显,icon_cp_zb_01_010
902111,染色石珠,1×1（1格）,133,白品,珠宝,染色石料珠串，颜色均匀无纹理，地摊常见款,icon_cp_zb_01_011
902112,铁戒圈,1×1（1格）,123,白品,珠宝,铁质指环，小圆环，素面无饰,icon_cp_zb_01_012
902113,塑料耳坠,1×1（1格）,115,白品,珠宝,塑料仿珠耳坠，光泽假但造型活泼，廉价装饰品,icon_cp_zb_01_013
902301,珍珠项链,3×3（9格）,5331,蓝品,珠宝,淡水珍珠项链，珠粒饱满，光泽柔和,icon_cp_zb_03_001
902302,翡翠小牌,2×2（4格）,3427,蓝品,珠宝,糯种翡翠方牌，底色偏灰绿质地中等,icon_cp_zb_03_002
902303,银戒指,2×2（4格）,5598,蓝品,珠宝,925银戒指，简约光面，质感细腻,icon_cp_zb_03_003
902304,红珊瑚枝,2×2（4格）,3113,蓝品,珠宝,浅海珊瑚枝鲜红色，表面有天然细孔,icon_cp_zb_03_004
902305,贝壳仿珠,2×2（4格）,2799,蓝品,珠宝,蓝色刻面仿宝石，通透闪亮，光泽偏塑料,icon_cp_zb_03_005
902306,普通水晶,1×1（1格）,956,蓝品,珠宝,工业级白水晶，内含绵絮状包裹体,icon_cp_zb_03_006
902307,石榴石,1×1（1格）,2142,蓝品,珠宝,酒红色石榴石切割规整，日常饰品级,icon_cp_zb_03_007
902308,月光石,1×1（1格）,914,蓝品,珠宝,蓝色月光石朦胧光晕，半宝石入门之选,icon_cp_zb_03_008
902309,水晶小坠,1×1（1格）,1082,蓝品,珠宝,绿色东陵玉原石吊坠，砂金效应明显,icon_cp_zb_03_009
902310,人造非洲之心,1×1（1格）,1029,蓝品,珠宝,心形刻面蓝色仿宝石，通透闪亮,icon_cp_zb_03_010
902311,紫晶坠,3×2（6格）,4319,蓝品,珠宝,天然紫晶坠，切面工整，紫色均匀通透。水晶里人气最高的品类，入门不会错,icon_cp_zb_03_011
902312,橄榄石钉,3×2（6格）,3402,蓝品,珠宝,橄榄绿耳钉，颜色清新，小颗日常款。八月生辰石，戴着比放着好看,icon_cp_zb_03_012
902313,碧玉手镯,2×2（4格）,3284,蓝品,珠宝,和田碧玉手镯，色泽温润，圈口圆整。玉不出声，戴久了会在手腕上留下自己的温度,icon_cp_zb_03_013
902401,猫眼石戒,2×2（4格）,10500,紫品,珠宝,金绿猫眼戒，眼线锐利，转动时光带跟随，五大名宝之一,icon_cp_zb_04_001
902402,红宝石戒,2×2（4格）,10100,紫品,珠宝,鸽血红红宝石戒面，颜色浓郁，缅甸抹谷矿区顶级品,icon_cp_zb_04_002
902403,翡翠平安扣,2×2（4格）,8597,紫品,珠宝,冰糯种翡翠平安扣，水头足飘绿花，最简造型寓意圆满,icon_cp_zb_04_003
902404,琥珀,2×2（4格）,8297,紫品,珠宝,蜜黄色琥珀含微小气泡，千万年松脂化石常含远古内含物,icon_cp_zb_04_004
902405,海水珍珠坠,2×2（4格）,19190,紫品,珠宝,海水珍珠吊坠，正圆强光珠层厚，唯一无需切割打磨的宝石,icon_cp_zb_04_005
902406,1克拉钻石,1×1（1格）,3859,紫品,珠宝,商业级1克拉圆钻H色VS2，57-58刻面实现光线全内反射,icon_cp_zb_04_006
902407,金镶玉坠,4×2（8格）,18890,紫品,珠宝,金镶翡翠吊坠，18K金托嵌蛋面，软金包硬玉的工艺考验,icon_cp_zb_04_007
902408,祖母绿小料,1×1（1格）,4226,紫品,珠宝,哥伦比亚祖母绿小料，翠绿浓郁含天然包裹体,icon_cp_zb_04_008
902409,珍珠,1×1（1格）,3675,紫品,珠宝,淡水珍珠正圆强光，直径约8mm，蚌用身体包裹沙粒的产物,icon_cp_zb_04_009
902410,蓝宝石吊坠,1×1（1格）,7130,紫品,珠宝,天然蓝宝石吊坠，切面工整，台面反光均匀。蓝调正，不偏紫不偏灰，入门彩宝里的稳选,icon_cp_zb_04_010
902411,玛瑙珠串,2×2（4格）,11200,紫品,珠宝,南红玛瑙手串，色泽温润，颗颗均匀饱满。最入门的宝石串，谁上手谁都能戴,icon_cp_zb_04_011
902412,翡翠豆荚,3×3（9格）,15670,紫品,珠宝,"冰种翡翠豆荚，透亮水足，雕工简洁。豆荚谐音""福豆""，翡翠挂件里送人不出错的那种",icon_cp_zb_04_012
902413,星光红宝戒,1×1（1格）,4373,紫品,珠宝,星光红宝戒，六射星光清晰，灯下一转星线跟着转。红宝石里的异类，看的不只是颜色,icon_cp_zb_04_013
902414,和田玉籽串,1×1（1格）,3381,紫品,珠宝,和田玉原籽手串，颗颗保留天然皮色，河水冲了几十万年才冲出这层皮,icon_cp_zb_04_014
902501,西洋钻戒,1×1（1格）,16460,橙品,珠宝,西洋古董钻戒老欧洲切割，玫瑰金戒托有工匠印记，火彩柔和,icon_cp_zb_05_001
902502,南洋金珠项链,1×3（3格）,31550,橙品,珠宝,南洋金珠项链浓金色，珠径12-15mm光泽如镜，每颗不可复制,icon_cp_zb_05_002
902503,缅甸鸽血红项链,1×3（3格）,29940,橙品,珠宝,缅甸鸽血红宝石项链，顶级有色宝石不靠品牌靠颜色说话,icon_cp_zb_05_003
902504,翡翠手镯,2×2（4格）,79970,橙品,珠宝,清代冰种翡翠手镯清透带阳绿，素面不雕以玉质取胜,icon_cp_zb_05_004
902505,慈禧翡翠西瓜,1×1（1格）,14410,橙品,珠宝,慈禧随葬翡翠西瓜，绿皮红瓤巧雕，清东陵被盗后成传奇迷案,icon_cp_zb_05_005
902506,狗头金,1×1（1格）,17490,橙品,珠宝,天然狗头金块形如犬首，亿万年生长的纯金签名版远超精炼金,icon_cp_zb_05_006
902507,宫廷东珠坠,1×1（1格）,13670,橙品,珠宝,清代宫廷东珠坠大如拇指，东北淡水珍珠皇帝独享,icon_cp_zb_05_007
902508,金绿猫眼,1×1（1格）,13080,橙品,珠宝,斯里兰卡金绿猫眼蜜黄色，烛光下眼线如猫瞳收放,icon_cp_zb_05_008
902509,南海珍珠串,1×1（1格）,30870,橙品,珠宝,南海天然海水珍珠串珠径匀称，一颗海水珠需5-8年形成,icon_cp_zb_05_009
902510,矢车菊蓝宝戒,1×3（3格）,33160,橙品,珠宝,克什米尔矢车菊蓝宝石丝绒质感，蓝如深湖看之不尽,icon_cp_zb_05_010
902511,翡翠如意锁,3×3（9格）,71820,橙品,珠宝,满绿翡翠如意锁浓郁饱满，锁住平安福气的经典挂件,icon_cp_zb_05_011
902512,海螺珠项链,2×2（4格）,44380,橙品,珠宝,天然孔克珠项链粉色带火焰纹，一只海螺一生一颗无法养殖,icon_cp_zb_05_012
902513,南沙古珠,1×1（1格）,11760,橙品,珠宝,南海沉船古珠单颗圆润，沿海贸航线进入广州十三行体系——羊城拾光专属,icon_cp_zb_05_013
902514,良渚玉璧,2×2（4格）,39180,橙品,珠宝,杭州良渚文化玉璧，圆形大璧中孔圆整，天圆地方的史前礼器——钱塘雅集专属,icon_cp_zb_05_014
902515,翡翠牌坊链,2×2（4格）,45580,橙品,珠宝,上海老银楼牌坊款翡翠钻石项链，中式料子西式镶法的海派风格——沪上风云专属,icon_cp_zb_05_015
902516,点翠凤钗,1×2（2格）,19050,橙品,珠宝,燕京宫廷点翠凤钗翠羽贴制，灯光下翠蓝色泽流转，一门失传的羽毛记忆——燕京御藏专属,icon_cp_zb_05_016
902517,格臻粉红钻,1×1（1格）,15880,橙品,珠宝,格臻稀世粉红钻，颜色如樱花初绽，常在香港中环夜场拍卖创下亚太高价——香江竞逐专属,icon_cp_zb_05_017
902518,德累斯顿绿钻,1×1（1格）,12500,橙品,珠宝,41克拉天然绿钻，圆形切割，稀有度放进霓城之巅也照样排在前列——霓城之巅专属,icon_cp_zb_05_018
902601,帝王绿手镯,1×1（1格）,67620,红品,珠宝,帝王绿玻璃种翡翠手镯，颜色浓正阳匀，港澳拍场封面级的翡翠巅峰,icon_cp_zb_06_001
902602,慈禧夜明珠,2×2（4格）,719700,红品,珠宝,慈禧随葬夜明珠传说夜间发光，清东陵被盗后下落成谜,icon_cp_zb_06_002
902603,和氏璧,1×1（1格）,2646000,红品,珠宝,和氏璧中国玉文化第一符号，卞和献玉完璧归赵，后刻为传国玉玺下落不明,icon_cp_zb_06_003
902604,鸽血红宝石,2×2（4格）,191900,红品,珠宝,缅甸鸽血红宝石颜色如鸽血，紫外灯下红色荧光如锁住了一团火焰,icon_cp_zb_06_004
902605,非洲之心,1×1（1格）,13145200,红品,珠宝,库里南钻石切割品，3106克拉原石为迄今最大宝石级钻石,icon_cp_zb_06_005
902606,祖母绿宝石,1×1（1格）,84530,红品,珠宝,哥伦比亚祖母绿颜色纯正浓郁，天然包裹体被称为祖母绿的花园,icon_cp_zb_06_006
902607,粉红之星钻石,1×1（1格）,396900,红品,珠宝,粉红之星，59.6克拉艳彩粉钻，拍卖史上最高成交价珠宝,icon_cp_zb_06_007
902608,非洲之心碎料,1×1（1格）,66150,红品,珠宝,库里南钻石切割碎料，天然钻石原石保留原始晶面,icon_cp_zb_06_008
902609,红宝石王冠,3×3（9格）,422500,红品,珠宝,红宝石王冠铂金底座花环造型，王室旧藏买的是当年戴在哪位公主头上,icon_cp_zb_06_009
902610,南海珍珠王,1×1（1格）,74970,红品,珠宝,南海天然珍珠王珠径超20mm，极稀有规格南海暖流养出的巨珠,icon_cp_zb_06_010
902611,冰种飘花翡翠,1×1（1格）,63950,红品,珠宝,高冰种飘花翡翠水头十足，飘花如墨入清水，绿在冰中凝固成画,icon_cp_zb_06_011
902612,乾隆东珠朝珠,1×2（2格）,123500,红品,珠宝,乾隆御用东珠朝珠108颗，只有皇帝皇后太上皇三人能用,icon_cp_zb_06_012
902613,香江翡翠王,1×2（2格）,237600,红品,珠宝,帝王绿玻璃种翡翠吊坠，香港拍场槌声即破纪录的拍卖传奇,icon_cp_zb_06_013
902614,火焰欧泊,1×1（1格）,79380,红品,珠宝,澳洲闪电岭黑欧泊五色变彩，内部二氧化硅球体衍射出的独有指纹,icon_cp_zb_06_014
902615,大溪地黑珍珠,1×1（1格）,66890,红品,珠宝,大溪地黑珍珠超15mm，表带孔雀绿晕彩的深海暗光,icon_cp_zb_06_015
902616,梦影典藏钻耳环,1×1（1格）,68360,红品,珠宝,传奇影星旧藏圆形钻石耳环，名人佩戴照片有时比钻石本身更值钱,icon_cp_zb_06_016
902617,格臻黄钻,1×1（1格）,74240,红品,珠宝,格臻浓彩黄钻，枕形切割，颜色金黄饱满。黄钻是彩钻中最友好的入门品种——比白钻个性，比粉钻亲切,icon_cp_zb_06_017
902618,卡纹豹首胸针,1×2（2格）,105800,红品,珠宝,卡纹猎豹镶钻胸针祖母绿豹眼，半年以上工期宝石斑点不重复,icon_cp_zb_06_018
902619,粤绣百鸟屏,3×2（6格）,267500,红品,珠宝,广州十三行时期粤绣金线百鸟屏，岭南绣娘针脚密到金线泡水不褪色的广绣绝技——羊城拾光专属,icon_cp_zb_06_019
902620,越王剑饰,1×1（1格）,78650,红品,珠宝,吴越古地江南遗珍，越王剑上玉佩谷纹，饰兵之玉佑护持剑人——钱塘雅集专属,icon_cp_zb_06_020
902621,赫顿翡翠珠链,2×2（4格）,205900,红品,珠宝,帝王绿翡翠珠链从上海到香港到纽约，横跨太平洋的名媛珠宝传奇——沪上风云专属,icon_cp_zb_06_021
902622,翡翠朝珠,2×2（4格）,211900,红品,珠宝,北京清宫翡翠朝珠108颗配碧玺佛头，朝服制度珠子颜色穿错了要掉脑袋——燕京御藏专属,icon_cp_zb_06_022
902623,日出红宝石,1×1（1格）,64680,红品,珠宝,鸽血红宝石裸石颜色浓烈如日出，香江佳士得拍卖槌落时正好是香港日出——香江竞逐专属,icon_cp_zb_06_023
902624,泰辉梨形巨钻,2×2（4格）,167900,红品,珠宝,68克拉传奇梨形巨钻，名字一抬出来就够撑起霓城之巅的封面位置——霓城之巅专属,icon_cp_zb_06_024
902625,江山永固·金杯,2×2（4格）,20260000,红品,珠宝,乾隆金瓯永固杯嵌宝鎏金，元旦开笔御用乾隆亲自审定设计,icon_cp_zb_06_025
902626,库里南钻石,2×2（4格）,860000,红品,珠宝,库里南钻石，3106克拉原石，切割出九颗王室名钻——切割师落刀前据说紧张到昏了过去,icon_cp_zb_06_026
902627,光之山钻石,2×2（4格）,860000,红品,珠宝,光之山钻石，105克拉古老名钻——一颗钻石上写着四个帝国的名字,icon_cp_zb_06_027
902628,希望蓝钻,2×2（4格）,860000,红品,珠宝,45.52克拉传奇蓝钻，诅咒传说让每一任拥有者以各种方式失去它,icon_cp_zb_06_028
902629,摄政王钻石,2×2（4格）,860000,红品,珠宝,摄政王钻石，140克拉法国王室名钻，曾镶嵌于三顶王冠和一把御剑——在君主制和帝国之间切换了三次,icon_cp_zb_06_029
902630,奥尔洛夫钻石,2×2（4格）,860000,红品,珠宝,奥尔洛夫钻石，189克拉古印度名钻——从神庙神像的眼中走到俄国女皇的权杖顶端,icon_cp_zb_06_030
903101,仿皮钱包,2×2（4格）,354,白品,奢品,仿皮钱包边角起皮拉链卡顿，街边日用品归宿,icon_cp_sp_01_001
903102,塑料发卡,1×1（1格）,140,白品,奢品,彩色塑料发卡批量生产，随处可见的日用饰品,icon_cp_sp_01_002
903103,旧丝巾,1×2（2格）,238,白品,奢品,普通聚酯纤维丝巾，粉色三角折叠，柜子深处的压箱底,icon_cp_sp_01_003
903104,旧金属扣,1×1（1格）,245,白品,奢品,生锈合金拉链扣，五金件里最常见的一枚,icon_cp_sp_01_004
903105,普通墨镜,3×1（3格）,271,白品,奢品,塑料镜框防晒墨镜装饰大于功能，地摊级日用,icon_cp_sp_01_005
903106,玩具美甲,1×1（1格）,126,白品,奢品,玩具美甲贴片儿童水洗卸除，纯趣味性物件,icon_cp_sp_01_006
903107,钥匙挂坠,1×1（1格）,110,白品,奢品,金属钥匙挂坠造型普通，实用为主无收藏溢价,icon_cp_sp_01_007
903108,应援棒,2×1（2格）,234,白品,奢品,演唱会LED应援棒，粉丝文化的基础配件,icon_cp_sp_01_008
903109,卡贴,1×1（1格）,101,白品,奢品,动漫角色卡贴防水覆膜，贴在手机壳上的装饰,icon_cp_sp_01_009
903110,丝绸手帕,4×3（12格）,1416,白品,奢品,丝绸织物手工刺绣边角，展开可作方巾或装饰布,icon_cp_sp_01_010
903111,塑料腕表,1×1（1格）,145,白品,奢品,塑料腕表基础计时功能，圆盘配彩色表带，儿童入门级,icon_cp_sp_01_011
903112,布质手环,1×1（1格）,149,白品,奢品,编织布手环潮流小物，环形无搭扣直接套腕，日常配饰,icon_cp_sp_01_012
903113,金属胸针,1×1（1格）,119,白品,奢品,合金胸针造型简约，日常搭配小件配饰，无溢价饰品,icon_cp_sp_01_013
903201,老式皮包,2×3（6格）,910,绿品,奢品,老式真皮手提包皮质发硬五金氧化，基础通勤日用,icon_cp_sp_02_001
903202,木质梳妆盒,1×1（1格）,309,绿品,奢品,实木小梳妆盒内置镜子，收纳日用首饰之物,icon_cp_sp_02_002
903203,印花T恤,2×2（4格）,1785,绿品,奢品,印花纯棉T恤，基础款多色可选，日常穿着无溢价,icon_cp_sp_02_003
903204,帆布背包,2×2（4格）,935,绿品,奢品,帆布单肩背包简约耐用，学生通勤款容量适中,icon_cp_sp_02_004
903205,铜质打火机,1×1（1格）,375,绿品,奢品,铜质金属打火机民用基础款，翻盖点火声响亮,icon_cp_sp_02_005
903206,时尚领带,1×3（3格）,773,绿品,奢品,条纹印花领带涤纶材质，日常通勤搭配非手工,icon_cp_sp_02_006
903207,时尚杂志,2×2（4格）,748,绿品,奢品,当季时尚杂志封面精美，内含海报附赠品牌广告,icon_cp_sp_02_007
903208,潮流手机壳,1×1（1格）,322,绿品,奢品,潮流IP联名手机壳硅胶材质，图案鲜艳防摔保护,icon_cp_sp_02_008
903209,亚克力钥匙扣,1×1（1格）,606,绿品,奢品,亚克力钥匙扣图案鲜艳，轻巧便携成本低廉,icon_cp_sp_02_009
903210,经典棒球帽,2×2（4格）,706,绿品,奢品,经典六片式棒球帽棉质面料，可调节百搭款,icon_cp_sp_02_010
903211,牛皮卡包,1×1（1格）,297,绿品,奢品,头层牛皮小卡包装3-4张卡片，紧凑便携,icon_cp_sp_02_011
903212,帆布托特袋,2×2（4格）,918,绿品,奢品,帆布托特包方形手提，容量大日常通勤皆可,icon_cp_sp_02_012
903213,木质眼镜框,2×1（2格）,490,绿品,奢品,木质手工镜框复古造型，横宽设计,icon_cp_sp_02_013
903301,运动球鞋,1×1（1格）,750,蓝品,奢品,限量联名运动球鞋品牌热门款，二级市场有溢价,icon_cp_sp_03_001
903302,银质烟盒,1×2（2格）,1290,蓝品,奢品,民国风格银质烟盒表面压花，翻盖内饰装饰纹,icon_cp_sp_03_002
903303,复古手提箱,2×2（4格）,2423,蓝品,奢品,复古旅行箱皮质包裹黄铜锁扣，工艺完整,icon_cp_sp_03_003
903304,羊绒围巾,2×2（4格）,2091,蓝品,奢品,纯羊绒围巾手感细腻保暖性好，基础轻奢质感,icon_cp_sp_03_004
903305,古董钢笔,1×1（1格）,1097,蓝品,奢品,老式钢笔金属笔身配金尖，书写工具中入门收藏,icon_cp_sp_03_005
903306,真皮腰带,5×3（15格）,13430,蓝品,奢品,头层牛皮腰带皮质厚实耐用，针扣设计百搭款,icon_cp_sp_03_006
903307,公仔玩偶,1×1（1格）,863,蓝品,奢品,毛绒公仔玩偶造型可爱填充饱满，送礼自留皆可,icon_cp_sp_03_007
903308,银制耳饰,1×1（1格）,1950,蓝品,奢品,925银制耳饰水滴钩式造型，日常佩戴,icon_cp_sp_03_008
903309,水雾唇釉,1×1（1格）,909,蓝品,奢品,水雾感唇釉国货美妆热门色号，玻璃管包装3ml,icon_cp_sp_03_009
903310,手工皮具箱,2×3（6格）,2798,蓝品,奢品,高端手工皮箱全皮包裹黄铜五金，衬绒隔层完整,icon_cp_sp_03_010
903311,真丝领带,1×3（3格）,2012,蓝品,奢品,意大利真丝素色，长条七折手工缝制,icon_cp_sp_03_011
903312,精钢腕表,3×2（6格）,3583,蓝品,奢品,精钢表壳入门级机械机芯，圆盘基础大三针,icon_cp_sp_03_012
903313,牛皮公文包,2×2（4格）,2780,蓝品,奢品,头层牛皮公文包方形手提，可容纳14寸文件,icon_cp_sp_03_013
903401,力航深潜旧表,2×3（6格）,9674,紫品,奢品,力航经典金表，香槟色表盘配钻石时标，奢华质感十年只涨不跌,icon_cp_sp_04_001
903402,卡纹三环戒指,2×2（4格）,8836,紫品,奢品,卡纹三环金戒，1924年设计三色金自由转动,icon_cp_sp_04_002
903403,复古机械表,1×1（1格）,3314,紫品,奢品,1940年代怀改腕表镂空机芯，罗马数字时标，机芯刻着校正者1946南京,icon_cp_sp_04_003
903404,绮藏旧纹丝巾,4×1（4格）,18030,紫品,奢品,绮藏首款女士丝巾，用料精致，复古纹样设计,icon_cp_sp_04_004
903405,香影双环耳饰,1×1（1格）,2723,紫品,奢品,香影双环珍珠耳饰，人造珠光照样能戴出真品味才算本事,icon_cp_sp_04_005
